study,trt,class,mean,sd,se,n
chappell 2009: 1,duloxetine high,snri,-0.16,,0.19,203
chappell 2011,placebo,placebo,-1.72,,0.18,128
chappell 2011,duloxetine high,snri,-2.51,,0.2,128
clauw 2008,placebo,placebo,-13,,1,401
clauw 2008,milnacipran standard,snri,-15.7,,1.1,397
clauw 2008,milnacipran high,snri,-17.4,,1.1,393
creed 2003,psychotherapy ,nonad,-16.1,,3.3,74
creed 2003,paroxetine low,ssri,-20.6,,3.51,74
creed 2003,usual treatment ,nonad,-11.4,,3.08,79
enomoto 2018,pregabalin ,nonad,-2.36,,0.13,149
enomoto 2018,duloxetine low,snri,-2.29,,0.13,152
foster 2010: 1,placebo,placebo,-4.57,5.86,,29
foster 2010: 1,lidocaine ,nonad,-3.1,6.77,,27
foster 2010: 1,desipramine standard,tca,-5.48,7.8,,21
foster 2010: 1,desipramine + lidocaine standard,tca,-6.44,8.54,,30
foster 2010: 2,placebo,placebo,-2.3,2.4,,119
foster 2010: 2,amitriptyline standard,tca,-2.6,2.5,,111
frakes 2011,placebo,placebo,-1.55,,0.11,255
frakes 2011,duloxetine high,snri,-2.46,,0.11,259
gao 2010,placebo,placebo,-2.31,,0.18,109
gao 2010,duloxetine high,snri,-2.69,,0.19,104
gao 2015,placebo,placebo,-1.97,,0.14,173
gao 2015,duloxetine standard,snri,-2.4,,0.14,172
goldstein 2005,placebo,placebo,-1.91,,0.22,88
goldstein 2005,duloxetine low,snri,-2.36,,0.21,91
goldstein 2005,duloxetine standard,snri,-2.89,,0.22,88
goldstein 2005,duloxetine high,snri,-3.24,,0.23,80
iwaki 2020,placebo,placebo,-1.91,,4.24,23
iwaki 2020,duloxetine low,snri,-0.83,,4.79,23
mahmoud 2021,amitriptyline low,tca,-3.8,1.2,,35
mahmoud 2021,amitriptyline low,tca,-5.7,1.4,,35
max 1992,desipramine standard,tca,-0.31,,0.06,38
max 1992,amitriptyline high,tca,-0.38,,0.06,38
morello 1999,gabapentin ,nonad,-0.31,,0.064,19
morello 1999,amitriptyline standard,tca,-0.44,,0.089,19
murakami 2015,placebo,placebo,-1.58,,0.23,195
murakami 2015,duloxetine standard,snri,-1.9,,0.23,191
natelson 2015,placebo,placebo,0.66,1.75,,13
natelson 2015,milnacipran standard,snri,-1.24,1.57,,13
norregaard 1995,placebo,placebo,-0.1,2,,21
norregaard 1995,citalopram standard,ssri,-0.5,2.2,,21
patkar 2007,placebo,placebo,-8.8,16.6,,58
patkar 2007,paroxetine unable to be categorised,ssri,-12.2,18.5,,58
raskin 2005,placebo,placebo,-1.6,,0.18,113
raskin 2005,duloxetine standard,snri,-2.5,,0.18,113
raskin 2005,duloxetine high,snri,-2.47,,0.18,114
rowbotham 2012,placebo,placebo,-2.1,,0.3,50
rowbotham 2012,duloxetine standard,snri,-2.8,,0.3,54
rowbotham 2012,abt-894 ,nonad,-2,,0.2,60
rowbotham 2012,abt-894 ,nonad,-1.6,,0.3,56
rowbotham 2012,abt-894 ,nonad,-2.1,,0.3,54
russell 2008,placebo,placebo,-1.43,,0.21,144
russell 2008,duloxetine standard,snri,-2.22,,0.28,79
russell 2008,duloxetine standard,snri,-1.98,,0.21,150
russell 2008,duloxetine high,snri,-2.26,,0.21,147
shinichi 2016,placebo,placebo,-1.96,,0.11,200
shinichi 2016,duloxetine standard,snri,-2.43,,0.11,209
skljarevski 2009,placebo,placebo,-1.87,,0.22,113
skljarevski 2009,duloxetine low,snri,-1.79,,0.3,56
skljarevski 2009,duloxetine standard,snri,-2.5,,0.22,108
skljarevski 2009,duloxetine high,snri,-2.45,,0.22,108
skljarevski 2010: 1,placebo,placebo,-1.16,1.95,,116
skljarevski 2010: 1,duloxetine high,snri,-1.92,1.91,,111
skljarevski 2010: 2,placebo,placebo,-1.65,,0.15,199
skljarevski 2010: 2,duloxetine standard,snri,-2.25,,0.15,195
smith 2013,placebo,placebo,0.34,1.61,,94
smith 2013,duloxetine standard,snri,1.06,1.62,,87
talley 2008,placebo,placebo,-7.4,46.9,,16
talley 2008,imipramine low,tca,-45.3,26.3,,18
talley 2008,citalopram standard,ssri,-14.4,32.9,,17
tesfaye 2013,pregabalin ,nonad,-1.68,,0.11,401
tesfaye 2013,duloxetine standard,snri,-2.3,,0.11,401
uchio 2018,placebo,placebo,-1.8,,0.12,176
uchio 2018,duloxetine standard,snri,-2.57,,0.12,177
van ophoven 2004,placebo,placebo,1,14.8,,24
van ophoven 2004,amitriptyline unable to be categorised,tca,-22.8,26.1,,24
vitton 2004,placebo,placebo,-0.9,2.9,,28
vitton 2004,milnacipran unable to be categorised,snri,-2,3.2,,46
vitton 2004,milnacipran unable to be categorised,snri,-2.5,2.8,,51
vollmer 2014,placebo,placebo,-1.07,,0.16,119
vollmer 2014,duloxetine standard,snri,-1.83,,0.17,115
wang 2017,placebo,placebo,-1.73,,0.11,177
wang 2017,duloxetine standard,snri,-2.23,,0.11,172
wernicke 2006,placebo,placebo,-1.39,,0.23,106
wernicke 2006,duloxetine standard,snri,-2.72,,0.22,110
wernicke 2006,duloxetine high,snri,-2.84,,0.23,111
yasuda 2011,placebo,placebo,-1.61,,0.18,167
yasuda 2011,duloxetine low,snri,-2.41,,0.21,85
yasuda 2011,duloxetine standard,snri,-2.53,,0.21,86
