study,trt,class,mean,sd,se,n
macfarlane 1986,placebo,placebo,60.5,10,,13
macfarlane 1986,trimipramine ,tca,57.3,8.7,,14
machado 2018,waitlist ,nonad,14.62,9.43,,21
machado 2018,amitriptyline ,tca,11.86,9.24,,21
machado 2018,amitriptyline + splint ,tca,12.17,13.1,,23
machado 2018,acupuncture ,nonad,16.38,11.3,,13
matthey 2013,placebo,placebo,36,10.4,,39
matthey 2013,milnacipran ,snri,45,11.9,,38
muller 2008,placebo,placebo,8.2,1.1,,26
muller 2008,escitalopram ,ssri,4.3,1.1,,25
nct 2003,cognitive behavioural therapy ,nonad,48.4,8.1,,33
nct 2003,nortriptyline + cognitive behavioural therapy ,tca,50.8,10.4,,38
nct 2003,disease management ,nonad,53.3,10.6,,19
nct 2003,nortriptyline + disease management ,tca,52.6,10,,26
nct 2011,placebo,placebo,9,7,,12
nct 2011,milnacipran ,snri,6,4,,26
otto 2008,placebo,placebo,10.8,10.7,,41
otto 2008,escitalopram ,ssri,10.3,10.7,,41
pakfetrat 2019,saffron/crocin ,nonad,19,3.97,,26
pakfetrat 2019,citalopram ,ssri,19.4,4.65,,21
razazian 2014,carbamazepine ,nonad,2.4,0.6,,78
razazian 2014,pregabalin ,nonad,1.41,0.5,,77
razazian 2014,venlafaxine ,snri,1.63,0.8,,69
richards 2015,placebo,placebo,9.5,7.3,,59
richards 2015,venlafaxine ,snri,9.5,6.5,,64
robinson 2004,placebo,placebo,16.1,13.1,,18
robinson 2004,amitriptyline ,tca,12.9,8.5,,19
schukro 2016,placebo,placebo,46.5,12.5,,21
schukro 2016,duloxetine ,snri,50,11.6,,21
sencan 2004,aerobic exercise ,nonad,9.15,2.92,,20
sencan 2004,paroxetine ,ssri,9.9,2.11,,20
sencan 2004,tens ,nonad,15.4,3.6,,20
shakiba 2018,saffron/crocin ,nonad,8.96,3.48,,23
shakiba 2018,duloxetine ,snri,8.71,3.95,,23
sofat 2016,placebo,placebo,5.1,2.87,,22
sofat 2016,pregabalin ,nonad,4.1,3.59,,22
sofat 2016,duloxetine ,snri,3.8,4.44,,21
spinhoven 2010,placebo,placebo,7,3.3,,23
spinhoven 2010,paroxetine ,ssri,4.7,3,,23
spinhoven 2010,cognitive behavioural therapy ,nonad,4.9,3.9,,23
staud 2015,placebo,placebo,2.3,2.6,,18
staud 2015,milnacipran ,snri,2.6,2.7,,17
suttiruksa 2016,placebo,placebo,72,11.5,,13
suttiruksa 2016,mirtazapine ,nassa,81,14.4,,13
suttiruksa 2016,mirtazapine ,nassa,83,12.4,,14
tetreault 2018,placebo,placebo,7.15,7.04,,20
tetreault 2018,duloxetine ,snri,8.32,9.12,,19
urquhart 2018,placebo,placebo,8.71,1,,57
urquhart 2018,amitriptyline ,tca,7.78,0.8,,61
vranken 2011,placebo,placebo,73,19,,23
vranken 2011,duloxetine ,snri,73,19,,21
wolfe 1994,placebo,placebo,3,2.58,,9
wolfe 1994,fluoxetine ,ssri,1.5,1.78,,15
